GlobalFacilityID,MonthYear,PatientVolume
5813,1/1/2020,2083
5539,1/1/2020,4189
2424,1/1/2020,1599
4451,1/1/2020,2287
183,1/1/2020,403
41,1/1/2020,753
1820,1/1/2020,1857
2541,1/1/2020,2838
487798,1/1/2020,2154
483471,1/1/2020,2550
4215,1/1/2020,1770
490140,1/1/2020,128
2491,1/1/2020,2038
2402,1/1/2020,2362
478082,1/1/2020,2441
2536,1/1/2020,4069
487800,1/1/2020,1587
458224,1/1/2020,361
328376,1/1/2020,2215
475751,1/1/2020,5805
1676,1/1/2020,2224
5381,1/1/2020,2347
1502,1/1/2020,398
323420,1/1/2020,4822
404452,1/1/2020,4141
120936,1/1/2020,246
3382,1/1/2020,1055
2562,1/1/2020,5582
9961,1/1/2020,3422
490124,1/1/2020,1259
9160,1/1/2020,1117
6075,1/1/2020,2262
3580,1/1/2020,2556
2341,1/1/2020,504
5568,1/1/2020,2487
281717,1/1/2020,1844
59237,1/1/2020,2328
205052,1/1/2020,3121
3400,1/1/2020,1665
6068,1/1/2020,2746
8517,1/1/2020,5524
99359,1/1/2020,6874
488636,1/1/2020,654
2451,1/1/2020,1834
692,1/1/2020,660
2534,1/1/2020,3657
227520,1/1/2020,1273
3035,1/1/2020,1345
484365,1/1/2020,60
3559,1/1/2020,745
7150,1/1/2020,1718
168435,1/1/2020,1411
489726,1/1/2020,496
6182,1/1/2020,576
1457,1/1/2020,2704
486844,1/1/2020,463
10267,1/1/2020,1574
1246,1/1/2020,4008
416735,1/1/2020,2733
182,1/1/2020,1394
1890,1/1/2020,486
5572,1/1/2020,1948
475746,1/1/2020,623
2464,1/1/2020,298
488639,1/1/2020,1827
5377,1/1/2020,3232
5819,1/1/2020,2409
50,1/1/2020,2439
484546,1/1/2020,60
245,1/1/2020,1824
255703,1/1/2020,1160
5645,1/1/2020,2289
489789,1/1/2020,184
490373,1/1/2020,157
416680,1/1/2020,685
488739,1/1/2020,3077
5360,1/1/2020,640
484360,1/1/2020,99
475748,1/1/2020,1079
484584,1/1/2020,2531
2513,1/1/2020,2970
10876,1/1/2020,2439
3326,1/1/2020,1599
4525,1/1/2020,3699
488496,1/1/2020,1335
7560,1/1/2020,1229
21,1/1/2020,1269
2590,1/1/2020,4276
2563,1/1/2020,4416
4218,1/1/2020,849
5187,1/1/2020,1211
7198,1/1/2020,2743
3042,1/1/2020,849
1428,1/1/2020,1973
4044,1/1/2020,416
3458,1/1/2020,486
1463,1/1/2020,5571
5359,1/1/2020,2070
2586,1/1/2020,2137
1441,1/1/2020,2270
6105,1/1/2020,1273
483412,1/1/2020,159
9078,1/1/2020,2494
6289,1/1/2020,1445
5743,1/1/2020,541
475750,1/1/2020,1891
2492,1/1/2020,1507
489595,1/1/2020,1514
2572,1/1/2020,3130
490006,1/1/2020,28
42,1/1/2020,3424
489108,1/1/2020,2799
183768,1/1/2020,897
5886,1/1/2020,3074
1113,1/1/2020,2506
6108,1/1/2020,1367
488546,1/1/2020,3011
1163,1/1/2020,3172
4502,1/1/2020,1228
272550,1/1/2020,6342
3386,1/1/2020,883
1208,1/1/2020,4066
6124,1/1/2020,2167
2312,1/1/2020,944
5719,1/1/2020,3389
2364,1/1/2020,753
217368,1/1/2020,447
485492,1/1/2020,917
2461,1/1/2020,1750
5634,1/1/2020,4604
3434,1/1/2020,3735
2518,1/1/2020,3097
2497,1/1/2020,701
351095,1/1/2020,1120
1499,1/1/2020,2691
469582,1/1/2020,4213
1523,1/1/2020,2811
2609,1/1/2020,4568
486737,1/1/2020,1387
487006,1/1/2020,2549
2423,1/1/2020,1622
488965,1/1/2020,1060
346,1/1/2020,2931
2392,1/1/2020,1044
3377,1/1/2020,1810
187,1/1/2020,1702
6513,1/1/2020,1120
8,1/1/2020,553
3652,1/1/2020,533
3392,1/1/2020,5552
8407,1/1/2020,36
6475,1/1/2020,384
478085,1/1/2020,2829
3412,1/1/2020,1093
12,1/1/2020,1320
298263,1/1/2020,98
5439,2/1/2020,1163
74,2/1/2020,2394
5813,2/1/2020,1890
183,2/1/2020,368
30588,2/1/2020,1731
1422,2/1/2020,819
5719,2/1/2020,3456
4215,2/1/2020,1750
6068,2/1/2020,2455
2364,2/1/2020,667
489202,2/1/2020,1643
41,2/1/2020,670
482995,2/1/2020,4621
2424,2/1/2020,1430
3400,2/1/2020,1504
251935,2/1/2020,292
488772,2/1/2020,624
487800,2/1/2020,1088
302425,2/1/2020,440
328376,2/1/2020,2253
1097,2/1/2020,4285
29,2/1/2020,1733
490006,2/1/2020,31
488637,2/1/2020,842
2494,2/1/2020,1232
1502,2/1/2020,331
272550,2/1/2020,6104
487747,2/1/2020,627
80,2/1/2020,2374
2336,2/1/2020,1483
1453,2/1/2020,779
3314,2/1/2020,2455
4594,2/1/2020,302
404452,2/1/2020,4180
3333,2/1/2020,945
36,2/1/2020,574
1491,2/1/2020,2314
435704,2/1/2020,849
1198,2/1/2020,1627
5483,2/1/2020,686
12,2/1/2020,1339
3412,2/1/2020,1016
4451,2/1/2020,2000
2541,2/1/2020,2706
6124,2/1/2020,1915
490124,2/1/2020,1001
490140,2/1/2020,123
2572,2/1/2020,3164
6132,2/1/2020,1435
2341,2/1/2020,461
5743,2/1/2020,532
478082,2/1/2020,2203
2402,2/1/2020,2132
2492,2/1/2020,1392
6702,2/1/2020,2057
2390,2/1/2020,602
2439,2/1/2020,1542
483412,2/1/2020,155
6487,2/1/2020,1593
475751,2/1/2020,5296
9160,2/1/2020,999
120936,2/1/2020,265
6075,2/1/2020,2473
5381,2/1/2020,2124
